in.sqft,total_energy_prediction_next_year_per_hour,total_energy__consumption_this_year_per_hour,percentage_change_in_energy_consumption
328,2164.426953315735,1663.9965853003953,30.07400210049101
633,6500.619070053101,5163.951643094022,25.884584507034692
885,29717.414473056793,23969.321871898363,23.981039730195686
1220,149283.01446390152,121350.33489042358,23.01821383410312
1690,197821.18251800537,160207.54886093177,23.478065749401193
2176,148317.14047908783,120327.19127498813,23.261532914977835
2663,92110.80330657959,75201.96702460447,22.48456649603715
3301,98653.15166282654,80732.34909711401,22.197796504292665
8194,50472.638051986694,43338.67954641437,16.460950310985076
